transaction_id,amount_local,authorized,comments,date_posting,date_transaction,goods_services,internal_ref_number,is_active,late_deposit,teller,trx_no,rpt_code,transaction_description,transaction_location,transaction_number,transmode_comment,value_date,cust_id,acid,status_id,report_id
137,50.85,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372344,D,11/16/2023,RC49128,DB66022,1,1
138,50.85,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372344,C,11/16/2023,RC4351,DB76105,1,1
139,0.02,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372345,D,11/16/2023,RC26788,DB36755,1,1
140,0.02,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372345,C,11/16/2023,RC4351,DB76105,1,1
141,10.16,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372346,D,11/16/2023,RC41577,DB56117,1,1
142,10.16,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372346,C,11/16/2023,RC4351,DB76105,1,1
143,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372347,D,11/16/2023,RC49135,DB66029,1,1
144,152.21,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372743,D,11/16/2023,RC30464,DB41483,1,1
145,133.02,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S374681,C,11/16/2023,RC4351,DB76105,1,1
146,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372347,C,11/16/2023,RC4351,DB76105,1,1
147,142.68,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372348,D,11/16/2023,RC35928,DB48526,1,1
148,142.68,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372348,C,11/16/2023,RC4351,DB76105,1,1
149,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372349,D,11/16/2023,RC49139,DB66039,1,1
150,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372349,C,11/16/2023,RC4351,DB76105,1,1
151,83.65,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372350,D,11/16/2023,RC26514,DB66042,1,1
152,83.65,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372350,C,11/16/2023,RC4351,DB76105,1,1
153,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372351,D,11/16/2023,RC49144,DB66050,1,1
154,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372351,C,11/16/2023,RC4351,DB76105,1,1
155,4.94,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372352,D,11/16/2023,RC9551,DB13548,1,1
156,4.94,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372352,C,11/16/2023,RC4351,DB76105,1,1
157,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372353,D,11/16/2023,RC53916,DB73015,1,1
158,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372353,C,11/16/2023,RC4351,DB76105,1,1
159,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372354,D,11/16/2023,RC37344,DB50649,1,1
160,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372354,C,11/16/2023,RC4351,DB76105,1,1
161,7.89,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372355,D,11/16/2023,RC30550,DB41594,1,1
162,7.89,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372355,C,11/16/2023,RC4351,DB76105,1,1
163,1.19,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372356,D,11/16/2023,RC51334,DB69409,1,1
164,1.19,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372356,C,11/16/2023,RC4351,DB76105,1,1
165,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372357,D,11/16/2023,RC5000,DB7760,1,1
166,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372357,C,11/16/2023,RC4351,DB76105,1,1
167,152.21,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372743,C,11/16/2023,RC4351,DB76105,1,1
168,26.52,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372358,D,11/16/2023,RC17313,DB23934,1,1
169,26.52,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372358,C,11/16/2023,RC4351,DB76105,1,1
170,0.27,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372359,D,11/16/2023,RC11460,DB16153,1,1
171,0.27,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372359,C,11/16/2023,RC4351,DB76105,1,1
172,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372360,D,11/16/2023,RC52511,DB70955,1,1
173,250,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372360,C,11/16/2023,RC4351,DB76105,1,1
174,7.15,,,11/21/2023,11/16/2023,,,t,f,,GNCB2,X0001,Savings Service Charge,1,  S372361,D,11/16/2023,RC11488,DB16208,1,1
